Code	Department	Number	Name	Lectures	Labs	Tutorials	Co-Req	Anti-Req	Pre-Req	Consent	Special Restrictions	Notes	Description
1001203	CPSC	203	Introduction to Problem Solving using Application Software	2	2	5						"This course is not available for credit for Computer Science majors. This course cannot be used to satisfy the Computer Science requirement in the Natural Sciences program. Basic familiarity with personal computers and commonly used software, including word processors, electronic mail and web browsers, will be assumed."	"Introduction to computer fundamentals; contemporary topics, such as security and privacy, and the Internet and World Wide Web. Problem solving, analysis and design using application software, including spreadsheets and databases."
1001231	CPSC	231	Introduction to Computer Science for Computer Science Majors I	1	0	2						CPSC 101 is strongly recommended as preparation	"Introduction to problem solving, the analysis and design of small-scale computational systems, and implementation using a procedural programming language. For computer science majors."
1001233	CPSC	233	Introduction to Computer Science for Computer Science Majors II	1	0	2			CPSC 231			"Credit for both Computer Science 233 and any of 219, 235, Electrical Engineering 497 or Computer Engineering 493 will not be allowed."	"Continuation of Introduction to Computer Science for Computer Science Majors I. Emphasis on object-oriented analysis and design of small-scale computational systems and implementation using an object oriented language. Issues of design, modularization, and programming style will be emphasized."
1001301	CPSC	301	Large-Scale Software Development	2	2	2		SENG 301	CPSC 233				"An accelerated introduction to developing large-scale, quality software. Analysis, design, implementation and testing. Process, management and teamwork. Covers both individual and team skills."
1001313	CPSC	313	Introduction to Computability	2	0	2			"CPSC 233, PHIL 279"			One of Computer Science 319 or 331 is strongly recommended as preparation for this course.	"	An introduction to abstract models of sequential computation, including finite automata, regular expressions, context-free grammars, and Turing machines. Formal languages, including regular, context-free, and recursive languages, methods for classifying languages according to these types, and relationships among these classes."""
1001331	CPSC	331	"Data Structures, Algorithms, and Their Analysis"	1	1	1			"CPSC 233, MATH 271"				"Fundamental data structures, including arrays, lists, stacks, queues, trees, hash tables, and graphs. Algorithms for searching and sorting. Introduction to the correctness and analysis of algorithms. For computer science majors interested in algorithm design and analysis, information security, and other mathematically-intensive areas."
1001413	CPSC	413	Design and Analysis of Algorithms I	1	0	2			"CPSC 313, CPSC 331 MATH 249"			"One of Mathematics 265 or 275 is highly recommended as preparation for this course, but not mandatory."	"Techniques for the analysis of algorithms, including counting, summation, recurrences, and asymptotic relations; techniques for the design of efficient algorithms, including greedy methods, divide and conquer, and dynamic programming; examples of their application; an introduction to tractable and intractable problems."
1001457	CPSC	457	Principles of Operating Systems	2	0	2			CPSC 331			"Techniques for the analysis of algorithms, including counting, summation, recurrences, and asymptotic relations; techniques for the design of efficient algorithms, including greedy methods, divide and conquer, and dynamic programming; examples of their application; an introduction to tractable and intractable problems."	"An introduction to operating systems principles. Performance measurement; concurrent programs; the management of information, memory and processor resources."
1001481	CPSC	481	Human-Computer Interaction I	1	0	1			CPSC 301/SENG 301				"Fundamental theory and practice of the design, implementation, and evaluation of human-computer interfaces. Topics include: principles of design; methods for evaluating interfaces with or without user involvement; techniques for prototyping and implementing graphical user interfaces."
1001501	CPSC	501	Advanced Programming Techniques	1	1	2							Theory and application of advanced programming methods and tools. Recent issues as well as those of an enduring nature will be discussed.
1001581	CPSC	581	Human-Computer Interaction II	1	0	1			CPSC 481				"				Intermediate and advanced topics and applications in human-computer interaction, to further one's skills for designing highly interactive human-computer interfaces."""
1002201	HTST	201	The History of Europe	1	0	0							"Selected topics may include formation and breakdown of political structures: cultural, social, and technological continuity and change; development of religious and secular belief systems; interactions among cultures. Course content will vary each session. Please consult the History Department for more specific information."
1002300	HTST	300	The Practice of History	1	0	0						This is a compulsory course for History majors and prerequisite for History 496 and all 500-level seminars.	Provides a grounding in the methods and practice of history.
1002305	HTST	305	Slavery in the Americas	1	0	0							"							History of the enslavement of Africans and their descendants in the New World from 1492 to 1888. Themes may include the slave trade, labor, culture and religion, resistance and rebellion, abolition, and slavery’s legacy."
1002413	HTST	413	Modern Germany	1	0	0							"German political, social, and cultural history from the late nineteenth century to the present. Topics will include unification, both world wars, Nazism, the Holocaust, the division of Germany, society and politics in the Cold War, and reunification."
1002504	HTST	504	"Britain and the Wider World, 1500-1800"	1	0	0							Topics in British imperial and global history.
1003249	MATH	249	Introductory Calculus	2	2	4							"Algebraic operations. Functions and graphs. Limits, derivatives, and integrals of exponential, logarithmic and trigonometric functions. Fundamental theorem of calculus. Improper integrals. Applications."
1003271	MATH	271	Discrete Mathematics	2	2	2						Philosophy 279 or 377 is highly recommended to complement this course.	Proof techniques. Sets and relations. Induction. Counting and probability. Graphs and trees.
1004249	PHIL	249	"Morality, Virtue and Society"	1	0	1							"Provides an introduction to philosophy through the discussion of morality, virtue and the role of morality in society."
1004279	PHIL	279	Logic I	2	0	2		PHIL 377					Sentential and first-order logic from both deductive and semantic points of view. Some elementary metatheorems.
1004377	PHIL	377	Elementary Formal Logic	1	0	0		PHIL 279					"Sentential and first-order logic, with identity and descriptions, from both deductive and semantic points of view. Completeness, compactness, decidability for sentential logic."
1005301	SENG	301	Software Analysis and Design	1	1	0		CPSC 301	CPSC 331				"Introduction to developing large-scale, quality software, from analysis of requirements, through design, implementation, and testing. Introduction to design for non-functional properties of software. Emphasis on individual skills."
1006201	ENGL	201	Approaches to Literature	1	0	0		ENGL 203				English Majors begin their studies with English 203 and 205.	"Selected works of poetry, prose, and/or drama. Emphasizes fundamental skills: how to read a text accurately and critically; how to write logically, clearly, and persuasively. Individual sections may vary in the choice of genre and theme."
1006203	ENGL	203	Foundations: Literary Analysis	1	0	0		ENGL 201				"Compulsory for, and limited to, English Majors. Please consult the Department of English website for the area of focus for each section of this course."	"A seminar on a special topic, emphasizing critical reading and writing. This course prepares students for advanced undergraduate studies in English."
1006393	ENGL	393	Speculative Fiction I: Science Fiction	2	0	0							An examination of works of science fiction
1006395	ENGL	395	Speculative Fiction II: Fantasy	2	0	0							An examination of works of fantasy
1006399	ENGL	399	Detective Fiction	1	0	0							An examination of detective fiction
