code	course	type	number	Semester Code	days	start	end	building	room	instructor	total seats	lecture	# of Lab	# of Tutorial
1001203	CPSC 203	Lecture	1	20152	MWF	10	10.5	MFH	160	Dr. Bob	75	0	1	3
1001203		Lab	1	20152	TBA	TBA	TBA	TBA	TBA	Dr. Bob	75	1	0	0
1001203		Tutorial	1	20152	M	8	9.5	MS	117	Mr. Rob	25	1	0	0
1001203		Tutorial	2	20152	W	17	18.5	MS	117	Mr. Rob	25	1	0	0
1001203		Tutorial	3	20152	F	11	12.5	MS	117	Mr. Rob	25	1	0	0
1001203	CPSC 203	Lecture	2	20152	TR	9.3	11.45	MFH	160	Dr. Cooper	50	0	1	2
1001203		Lab	2	20152	TBA	TBA	TBA	TBA	TBA	Dr. Cooper	50	2	0	0
1001203		Tutorial	4	20152	T	11	12.5	MS	117	Mr. Rob	25	2	0	0
1001203		Tutorial	5	20152	R	17	18.5	MS	117	Mr. Rob	25	2	0	0
1001231	CPSC 231	Lecture	1	20152	TR	8	9.15	ST	140	Dr. Smith	50	0	0	2
1001231		Tutorial	1	20152	MWF	9	9.5	MS	121	Mr. Joe	25	1	0	0
1001231		Tutorial	2	20152	TR	15.3	16.45	ST	136	Mr. Joe	25	1	0	0
1001233	CPSC 233	Lecture	1	20152	MWF	17	17.5	ICT	140	Dr. John	50	0	0	2
1001233		Tutorial	1	20152	TR	11	11.5	MS	111	Mr. Sam	25	1	0	0
1001233		Tutorial	2	20152	TR	12	12.5	MS	111	Mr. Sam	25	1	0	0
1001203	CPSC 203	Lecture	1	20153	MWF	10	10.5	MFH	160	Dr. Bob	75	0	1	3
1001203		Lab	1	20153	TBA	TBA	TBA	TBA	TBA	Dr. Bob	75	1	0	0
1001203		Tutorial	1	20153	M	8	9.5	MS	117	Mr. Rob	25	1	0	0
1001203		Tutorial	2	20153	W	17	18.5	MS	117	Mr. Rob	25	1	0	0
1001203		Tutorial	3	20153	F	11	12.5	MS	117	Mr. Rob	25	1	0	0
1001203	CPSC 203	Lecture	2	20153	TR	9.3	11.45	MFH	160	Dr. Cooper	50	0	1	2
1001203		Lab	2	20153	TBA	TBA	TBA	TBA	TBA	Dr. Cooper	50	2	0	0
1001203		Tutorial	4	20153	T	11	12.5	MS	117	Mr. Rob	25	2	0	0
1001203		Tutorial	5	20153	R	17	18.5	MS	117	Mr. Rob	25	2	0	0
1001231	CPSC 231	Lecture	1	20153	TR	8	9.15	ST	140	Dr. Smith	50	0	0	2
1001231		Tutorial	1	20153	MWF	9	9.5	MS	121	Mr. Joe	25	1	0	0
1001231		Tutorial	2	20153	TR	15.3	16.45	ST	136	Mr. Joe	25	1	0	0
1001233	CPSC 233	Lecture	1	20153	MWF	17	17.5	ICT	140	Dr. John	50	0	0	2
1001233		Tutorial	1	20153	TR	11	11.5	MS	111	Mr. Sam	25	1	0	0
1001233		Tutorial	2	20153	TR	12	12.5	MS	111	Mr. Sam	25	1	0	0
1001301	CPSC 301	Lecture	1	20151	MWF	8	8.5	SS	233	Dr. James	30	0	1	1
1001301		Lab	1	20151	T	8	8.5	MS	111	Mr. Lee	30	1	0	0
1001301		Tutorial	1	20151	R	9	9.5	SS	235	Mr. James	30	1	0	0
1001301	CPSC 301	Lecture	2	20151	MWF	8	8.5	SA	133	Dr. Cam	30	0	1	1
1001301		Lab	2	20151	T	8	8.5	MS	121	Mr. Jones	30	1	0	0
1001301		Tutorial	2	20151	R	9	9.5	SA	135	Mr. Cam	30	1	0	0
1001313	CPSC 313	Lecture	1	20151	MWF	10	10.5	SB	122	Dr. Jan	50	0	0	1
1001313		Tutorial	1	20151	MWF	11	11.5	SB	122	Mr. Rob	50	1	0	0
1001313	CPSC 313	Lecture	2	20151	TR	15.3	16.45	MS	231	Dr. Erin	25	0	0	1
1001313		Tutorial	2	20151	TR	17	17.5	MS	666	Ms. Sasha	25	1	0	0
1001331	CPSC 331	Lecture	1	20151	TR	8	9.15	ENA	101	Dr. Tanner	60	0	1	1
1001331		Lab	1	20151	TR	10	10.5	MS	156	Ms. Wendy	60	1	0	0
1001331		Tutorial	1	20151	TR	11	11.5	MS	156	Ms. Annie	60	1	0	0
1001413	CPSC 413	Lecture	1	20151	MWF	12	13.5	ST	160	Dr. Kevin	100	0	0	2
1001413		Tutorial	1	20151	MWF	13	13.5	MS	105	Ms. Janine	50	1	0	0
1001413		Tutorial	2	20151	MWF	13	13.5	MS	106	Ms. Molly	50	1	0	0
1001457	CPSC 457	Lecture	1	20151	TR	14	15.15	EDC	140	Dr. Kawash	50	0	0	1
1001457		Tutorial	1	20151	TR	15.3	16.45	MS	166	Ms. Lucy	50	1	0	0
1001457	CPSC 457	Lecture	2	20151	TR	15.3	16.45	EDC	140	Dr. Kawash	50	0	0	1
1001457		Tutorial	2	20151	TR	14	15.15	MS	166	Ms. Lucy	50	1	0	0
1001481	CPSC 481	Lecture	1	20151	MWF	8	8.5	ES	110	Dr. Sharlin	75	0	0	1
1001481		Tutorial	1	20151	MWF	9	9.5	MS	120	Ms. Thudt	75	1	0	0
1001501	CPSC 501	Lecture	1	20151	MWF	14	14.5	ST	132	Dr. Quinn	30	0	1	2
1001501		Lab	1	20151	MWF	15	15.5	MS	136	Mr. Harley	30	1	0	0
1001501		Tutorial	1	20151	MWF	16	16.5	MS	140	Mr. Lex	15	1	0	0
1001501		Tutorial	2	20151	MWF	16	16.5	MS	144	Mr. Luthor	15	1	0	0
1001581	CPSC 581	Lecture	1	20151	TR	8	9.15	MS	211	Dr. Stark	30	0	0	1
1001581		Tutorial	1	20151	TR	10	10.5	MS	122	Mr. Tony	30	1	0	1
1002201	HTST 201	Lecture	1	20151	M	17	19.5	ST	143	Dr. Konnert	60	0	0	0
1002300	HTST 300	Lecture	1	20151	T	17	19.5	ST	143	Dr. Arnold	60	0	0	0
1002305	HTST 305	Lecture	1	20151	W	17	19.5	ST	143	Dr. Wilt	60	0	0	0
1002413	HTST 413	Lecture	1	20151	R	17	19.5	ST	143	Dr. Michael	60	0	0	0
1002504	HTST 504	Lecture	1	20151	F	17	19.5	ST	143	Dr. Oscar	60	0	0	0
1003249	MATH 249	Lecture	1	20151	MWF	8	8.5	ST	120	Dr. T	50	0	1	2
1003249		Lab	1	20151	MWF	9	9.5	ST	120	Dr. T	50	1	0	0
1003249		Tutorial	1	20151	MWF	10	10.5	MS	254	Ms. Wallace	25	1	0	0
1003249		Tutorial	2	20151	MWF	10	10.5	MS	234	Ms. Smith	25	1	0	0
1003249	MATH 249	Lecture	2	20151	TR	8	9.15	ST	120	Dr. T	50	0	1	2
1003249		Lab	2	20151	TR	9.3	10.45	ST	120	Dr. T	50	1	0	0
1003249		Tutorial	3	20151	TR	11	12.15	MS	254	Ms. Wallace	25	1	0	0
1003249		Tutorial	4	20151	TR	12.3	13.45	MS	234	Ms. Smith	25	1	0	0
1003249	MATH 271	Lecture	1	20151	MWF	11	1.5	ST	120	Dr. T	50	0	1	1
1003249		Lab	1	20151	MWF	12	12.5	ST	120	Dr. T	50	1	0	0
1003249		Tutorial	1	20151	MWF	13	13.5	MS	254	Ms. Wallace	25	1	0	0
1003249	MATH 271	Lecture	2	20151	TR	12.3	13.45	ST	120	Dr. T	50	0	1	1
1003249		Lab	2	20151	TR	14	15.15	ST	120	Dr. T	50	1	0	0
1003249		Tutorial	2	20151	TR	15.3	17	MS	254	Ms. Wallace	25	1	0	0
1004249	PHIL 249	Lecture	1	20151	MWF	14	14.5	A	140	Socrates	75	0	0	1
1004249		Tutorial	1	20151	MW	15	15.5	EDC	114	The	75	1	0	0
1004279	PHIL 279	Lecture	1	20151	MWF	12	12.5	A	136	Plato	50	0	0	1
1004279		Tutorial	1	20151	MW	13	13.5	EDC	126	Golden	50	1	0	0
1004279	PHIL 279	Lecture	2	20151	TR	9.3	10.45	MFH	108	Aristotle	50	0	0	1
1004279		Tutorial	2	20151	TR	11	12.15	EEEL	236	Mean	50	1	0	0
1004377	PHIL 377	Lecture	1	20151	TR	15.3	16.45	ST	126	Buddha	50	0	0	0
1005301	SENG 301	Lecture	1	20151	MWF	12	12.5	ST	140	Dr. Gene	100	0	1	0
1005301		Lab	1	20151	MW	15	15.5	MS	133	Mr. Fred	100	1	0	0
1006201	ENGL 201	Lecture	1	20151	MWF	8	8.5	A	136	Shakespeare	100	0	0	0
1006203	ENGL 203	Lecture	1	20151	MWF	9	9.5	A	140	Romeo	100	0	0	0
1006393	ENGL 393	Lecture	1	20151	MWF	10	10.5	EDC	136	Juliet	75	0	0	0
1006393		Lecture	2	20151	MWF	11	11.5	EDC	140	MacBeth	75	0	0	0
1006395	ENGL 395	Lecture	1	20151	TR	8	9.15	SS	233	Hamlet	75	0	0	0
1006395		Lecture	2	20151	TR	9.3	10.45	ST	156	King Lear	75	0	0	0
1006399	ENGL 399	Lecture	1	20151	TR	11	12.15	SS	227	Caesar	75	0	0	0
